Source,Target,Type,Label,timeset,Weight
1311093036332584963,253053805,Directed,0,,1
1311093036332584963,197410009,Directed,1,,1
1311088699275386883,1301151815594016771,Directed,2,,1
1311088699275386883,1052680256924999680,Directed,3,,1
1311086826971697152,2622202005915938083,Directed,4,,1
1311086826971697152,1279710159418384390,Directed,5,,1
1311086427384541184,1252798527757062144,Directed,6,,1
1311086427384541184,1225863788165058560,Directed,7,,1
1311084548977913856,19084628,Directed,8,,1
1311077395928100872,46463401,Directed,9,,1
1311077102167482368,3045074092,Directed,10,,1
1311075854689148930,630635760,Directed,11,,1
1311073633192865792,45260729,Directed,12,,1
1311071237041422336,3092482455,Directed,13,,1
1311071237041422336,102444270,Directed,14,,1
1311070218270187521,1052412596249419776,Directed,15,,1
1311070218270187521,5194845888672050733,Directed,16,,1
1311069799250882560,1040704983358955526,Directed,17,,1
1311067589523705859,240916086,Directed,18,,1
1311060954780766209,70938727,Directed,19,,1
1311060718947627015,1172787091,Directed,20,,1
1311058207100547072,408786542,Directed,21,,1
1311057860995018753,260451004,Directed,22,,1
1311055156004478976,10228272,Directed,23,,1
1311054663274442758,342955543,Directed,24,,1
1311054663274442758,20736511,Directed,25,,1
1311051588480401408,1029730084494684165,Directed,26,,1
1311051588480401408,128372940,Directed,27,,1
1311049416669888517,10228272,Directed,28,,1
1311043755710046209,1003301201285435392,Directed,29,,1
1311042026578812931,2801282614,Directed,30,,1
1311039063210762241,14049943,Directed,31,,1
1311039063210762241,87806549,Directed,32,,1
1311039063210762241,2880932962,Directed,33,,1
1311039063210762241,128372940,Directed,34,,1
1311038497554345986,128372940,Directed,35,,1
1311035058820706304,1031616459435372549,Directed,36,,1
1311032714708037632,68498809,Directed,37,,1
1311032373027500035,128372940,Directed,38,,1
1311031960207265799,112777304,Directed,39,,1
1311031248891019265,1031616459435372549,Directed,40,,1
1311029726547456000,43554342,Directed,41,,1
1311029726547456000,61198788,Directed,42,,1
1311029726547456000,717316909490946049,Directed,43,,1
1311029726547456000,73259704,Directed,44,,1
1311029726547456000,128372940,Directed,45,,1
1311026289655066625,2880932962,Directed,46,,1
1311018666666921986,912492779669999616,Directed,47,,1
1311018666666921986,40053694,Directed,48,,1
1311014576608116736,245752163,Directed,49,,1
1311013070534332416,10228272,Directed,50,,1
1311008710274187264,1020798087449776128,Directed,51,,1
1311008103366877184,14128609,Directed,52,,1
1311005867140173832,46463401,Directed,53,,1
1310991989886853128,10228272,Directed,54,,1
1310991060534005763,464805946,Directed,55,,1
1310991060534005763,3111445731,Directed,56,,1
1310985888281907206,10228272,Directed,57,,1
1310984506740965376,1293203873017077760,Directed,58,,1
1310984506740965376,887706333587402752,Directed,59,,1
1310984506740965376,259810290,Directed,60,,1
1310984506740965376,399042458,Directed,61,,1
1310984506740965376,5481060707439737561,Directed,62,,1
1310984506740965376,1418071368,Directed,63,,1
1310984506740965376,3038122768,Directed,64,,1
1310984506740965376,628304586,Directed,65,,1
1310984506740965376,2197677426,Directed,66,,1
1310984506740965376,1127988694454099968,Directed,67,,1
1310984506740965376,2359763479,Directed,68,,1
1310984506740965376,1104364014606405632,Directed,69,,1
1310984506740965376,1066383902321840128,Directed,70,,1
1310984506740965376,2857261875,Directed,71,,1
1310984506740965376,3444617315269126909,Directed,72,,1
1310984506740965376,1040005992262651905,Directed,73,,1
1310984506740965376,579731450,Directed,74,,1
1310984506740965376,882617486004375552,Directed,75,,1
1310984506740965376,786543762,Directed,76,,1
1310984506740965376,105830616,Directed,77,,1
1310984506740965376,347512634,Directed,78,,1
1310984506740965376,237845376,Directed,79,,1
1310984506740965376,1130500058070310915,Directed,80,,1
1310984506740965376,790317117065326592,Directed,81,,1
1310984506740965376,7645347316968960464,Directed,82,,1
1310984506740965376,30359308,Directed,83,,1
1310984506740965376,1254213828,Directed,84,,1
1310984506740965376,312173957,Directed,85,,1
1310984506740965376,1051738462242648064,Directed,86,,1
1310984506740965376,133780828,Directed,87,,1
1310984506740965376,262431541,Directed,88,,1
1310984506740965376,725637291394392065,Directed,89,,1
1310984506740965376,855688305740066817,Directed,90,,1
1310984506740965376,332345276,Directed,91,,1
1310984506740965376,722808296948703232,Directed,92,,1
1310984506740965376,1078298480626593792,Directed,93,,1
1310984506740965376,7604408001580391797,Directed,94,,1
1310984506740965376,772657336615829505,Directed,95,,1
1310984506740965376,189455951,Directed,96,,1
1310984506740965376,231513119,Directed,97,,1
1310984506740965376,1928046788,Directed,98,,1
1310984506740965376,311157527,Directed,99,,1
1310984506740965376,192689632,Directed,100,,1
1310984506740965376,49033002,Directed,101,,1
1310984506740965376,814402441525465088,Directed,102,,1
1310984506740965376,1145727218645131265,Directed,103,,1
1310984506740965376,4569698946311114731,Directed,104,,1
1310984076749344770,46463401,Directed,105,,1
1310980263443398657,67183252,Directed,106,,1
1310979669047611392,128372940,Directed,107,,1
1310979669047611392,40053694,Directed,108,,1
1310976650566393857,46514897,Directed,109,,1
1310973070887313410,46463401,Directed,110,,1
1310973070887313410,2726301380,Directed,111,,1
