Source,Target,Type,Id,Label,timeset,Weight
141778575922565,893153407372009,Directed,14996,,,1
141778575922565,183702091662611,Directed,14997,,,1
141778575922565,176035362557038,Directed,14998,,,1
141778575922565,382679915130926,Directed,14999,,,1
141778575922565,404688852889676,Directed,15000,,,1
141778575922565,419691654741839,Directed,15001,,,1
141778575922565,141210266005082,Directed,15002,,,1
141778575922565,161008580612230,Directed,15003,,,1
141778575922565,194507617297324,Directed,15004,,,1
141778575922565,264175613598422,Directed,15005,,,1
141778575922565,292738067403489,Directed,15006,,,1
141778575922565,229786170410532,Directed,15007,,,1
141778575922565,190000937699646,Directed,15008,,,1
141778575922565,253215021383818,Directed,15009,,,1
141778575922565,227859510593798,Directed,15010,,,1
141778575922565,227205427313701,Directed,15011,,,1
183702091662611,141778575922565,Directed,15012,,,1
183702091662611,227859510593798,Directed,15013,,,1
183702091662611,253215021383818,Directed,15014,,,1
183702091662611,190000937699646,Directed,15015,,,1
183702091662611,292738067403489,Directed,15016,,,1
183702091662611,264175613598422,Directed,15017,,,1
183702091662611,161008580612230,Directed,15018,,,1
183702091662611,419691654741839,Directed,15019,,,1
183702091662611,176035362557038,Directed,15020,,,1
183702091662611,404688852889676,Directed,15021,,,1
183702091662611,382679915130926,Directed,15022,,,1
176035362557038,292738067403489,Directed,15023,,,1
176035362557038,141778575922565,Directed,15024,,,1
176035362557038,404688852889676,Directed,15025,,,1
404688852889676,141778575922565,Directed,15026,,,1
404688852889676,176035362557038,Directed,15027,,,1
419691654741839,183702091662611,Directed,15028,,,1
419691654741839,141778575922565,Directed,15029,,,1
419691654741839,229786170410532,Directed,15030,,,1
141210266005082,141778575922565,Directed,15031,,,1
141210266005082,227859510593798,Directed,15032,,,1
141210266005082,229786170410532,Directed,15033,,,1
194507617297324,264175613598422,Directed,15034,,,1
194507617297324,190000937699646,Directed,15035,,,1
194507617297324,229786170410532,Directed,15036,,,1
194507617297324,292738067403489,Directed,15037,,,1
194507617297324,227205427313701,Directed,15038,,,1
194507617297324,141778575922565,Directed,15039,,,1
292738067403489,141778575922565,Directed,15040,,,1
292738067403489,190000937699646,Directed,15041,,,1
229786170410532,176035362557038,Directed,15042,,,1
229786170410532,292738067403489,Directed,15043,,,1
229786170410532,419691654741839,Directed,15044,,,1
229786170410532,161008580612230,Directed,15045,,,1
229786170410532,253215021383818,Directed,15046,,,1
229786170410532,227205427313701,Directed,15047,,,1
229786170410532,190000937699646,Directed,15048,,,1
229786170410532,141778575922565,Directed,15049,,,1
253215021383818,229786170410532,Directed,15050,,,1
253215021383818,141778575922565,Directed,15051,,,1
227205427313701,183702091662611,Directed,15052,,,1
227205427313701,194507617297324,Directed,15053,,,1
227205427313701,264175613598422,Directed,15054,,,1
227205427313701,141778575922565,Directed,15055,,,1
115380398553479,313309908745548,Directed,15056,,,1
115380398553479,885593464796069,Directed,15057,,,1
115380398553479,1429709960624741,Directed,15058,,,1
115380398553479,269340286558581,Directed,15059,,,1
115380398553479,152469411574284,Directed,15060,,,1
115380398553479,1477600462503861,Directed,15061,,,1
115380398553479,557062394328624,Directed,15062,,,1
115380398553479,636211809731944,Directed,15063,,,1
115380398553479,201620369925977,Directed,15064,,,1
115380398553479,933986283299572,Directed,15065,,,1
115380398553479,883630091693175,Directed,15066,,,1
115380398553479,341698355948755,Directed,15067,,,1
115380398553479,436498646470365,Directed,15068,,,1
115380398553479,336385556388760,Directed,15069,,,1
115380398553479,533339133394526,Directed,15070,,,1
115380398553479,243536735664387,Directed,15071,,,1
115380398553479,1632222493671299,Directed,15072,,,1
115380398553479,613889288626722,Directed,15073,,,1
115380398553479,225744650773236,Directed,15074,,,1
115380398553479,660828923950713,Directed,15075,,,1
115380398553479,790867414268928,Directed,15076,,,1
115380398553479,637810726306431,Directed,15077,,,1
115380398553479,237565506339587,Directed,15078,,,1
115380398553479,343983859041816,Directed,15079,,,1
115380398553479,285875308186591,Directed,15080,,,1
115380398553479,397557203697654,Directed,15081,,,1
115380398553479,179133195578591,Directed,15082,,,1
115380398553479,219850581558170,Directed,15083,,,1
115380398553479,105603346141658,Directed,15084,,,1
115380398553479,1524942087769539,Directed,15085,,,1
115380398553479,146504285416022,Directed,15086,,,1
115380398553479,517593958278049,Directed,15087,,,1
115380398553479,500217530021958,Directed,15088,,,1
115380398553479,395733287156690,Directed,15089,,,1
115380398553479,759689137437872,Directed,15090,,,1
115380398553479,110881648985571,Directed,15091,,,1
115380398553479,146183372108809,Directed,15092,,,1
115380398553479,157836307618325,Directed,15093,,,1
115380398553479,253215021383818,Directed,15094,,,1
115380398553479,200573653426488,Directed,15095,,,1
115380398553479,466568436696066,Directed,15096,,,1
115380398553479,380142048690399,Directed,15097,,,1
115380398553479,385024594913328,Directed,15098,,,1
115380398553479,454831681324391,Directed,15099,,,1
115380398553479,1395757040662422,Directed,15100,,,1
115380398553479,377966552252862,Directed,15101,,,1
115380398553479,230173740457030,Directed,15102,,,1
115380398553479,10150125867040707,Directed,15103,,,1
115380398553479,1565356183683432,Directed,15104,,,1
115380398553479,128117453890470,Directed,15105,,,1
115380398553479,193085874254,Directed,15106,,,1
115380398553479,296187680436324,Directed,15107,,,1
115380398553479,523048924418841,Directed,15108,,,1
115380398553479,694821270554142,Directed,15109,,,1
115380398553479,727116560692909,Directed,15110,,,1
115380398553479,535808876450582,Directed,15111,,,1
115380398553479,443235612444666,Directed,15112,,,1
115380398553479,158097514394097,Directed,15113,,,1
115380398553479,268150213316628,Directed,15114,,,1
115380398553479,132414393631927,Directed,15115,,,1
115380398553479,444148825730186,Directed,15116,,,1
115380398553479,109522052465888,Directed,15117,,,1
115380398553479,503174526399146,Directed,15118,,,1
115380398553479,159422880867914,Directed,15119,,,1
115380398553479,220566888021787,Directed,15120,,,1
115380398553479,476406569095128,Directed,15121,,,1
115380398553479,1450654855212984,Directed,15122,,,1
115380398553479,516577858360754,Directed,15123,,,1
115380398553479,214571331970912,Directed,15124,,,1
115380398553479,246898832023858,Directed,15125,,,1
115380398553479,294067180641412,Directed,15126,,,1
115380398553479,322338821148790,Directed,15127,,,1
115380398553479,874167559263166,Directed,15128,,,1
115380398553479,603824212995453,Directed,15129,,,1
