Id,Label,timeset,users_can_post,link,category,talking_about_count,like_count
380142048690399,Academia F4 Fitness,,yes,https://www.facebook.com/AcademiaF4Fitness/,Sports/Recreation/Activities,68,1572
385024594913328,Mega Vale Cosméticos,,yes,https://www.facebook.com/megavalecosmeticos/,Health/Beauty,141,12392
454831681324391,UP Size Magazine,,no,https://www.facebook.com/UpSizeMagazine/,Magazine,33,6341
1395757040662422,BiquíniAvulso.com,,yes,https://www.facebook.com/BiquiniAvulso/,Clothing,119,12508
377966552252862,Lumiar   Foto e Cinema,,no,https://www.facebook.com/lumiarfotoecinema/,Movie Studio,140,17100
230173740457030,Bem Vestida Moda Grande - Plus Size,,yes,https://www.facebook.com/Bem-Vestida-Moda-Grande-Plus-Size-230173740457030/,Shopping/Retail,3,532
10150125867040707,Triumph,,yes,https://www.facebook.com/Triumph/,Clothing,368,1176660
1565356183683432,Sinaest 1.0 - Simpósio Nacional de Estilo,,yes,https://www.facebook.com/sinaest1.0/,Community,2,854
128117453890470,AREZZO,,no,https://www.facebook.com/arezzo.oficial/,Clothing,28610,1490419
193085874254,FFW,,no,https://www.facebook.com/ffw/,Society/Culture Website,10311,183915
296187680436324,EnModa,,yes,https://www.facebook.com/enmodaescoladenegociosdamoda/,Education,1728,30590
523048924418841,Miss London,,yes,https://www.facebook.com/misslondonrp/,Public Places,192,2330
694821270554142,Companhia de Peso,,no,https://www.facebook.com/companhiadepeso.blogspot/,Personal Blog,114,3876
727116560692909,Rondissime Plus PAGE,,yes,https://www.facebook.com/Rondissime-Plus-PAGE-727116560692909/,Community,1055,3222
535808876450582,Curvily - Curvy Fashion Blog,,yes,https://www.facebook.com/Curvily/,Personal Blog,178,9056
443235612444666,Clothes and Shit,,yes,https://www.facebook.com/clothesandshitxx/,Personal Blog,90,1978
158097514394097,Marini,,no,https://www.facebook.com/marini.brasil/,Clothing,89,58062
268150213316628,ASOS Curve,,yes,https://www.facebook.com/ASOSLovesCurve/,Clothing,241,44310
132414393631927,Mahogany Center Vale Shopping,,yes,https://www.facebook.com/mahoganycentervale/,Shopping/Retail,10,9989
444148825730186,PLUS SIZE Models International,,yes,https://www.facebook.com/PSModelling/,Community,9,2138
109522052465888,Le Lingerie,,no,https://www.facebook.com/lelinboutique/,Retail and Consumer Merchandise,134,157615
503174526399146,Morango Brasil,,yes,https://www.facebook.com/MorangoBrasil.biquinis/,Clothing,388,43405
159422880867914,Do44ao54 Moda Plus Size,,no,https://www.facebook.com/do44ao54/,Clothing,160,13028
220566888021787,L Officiel Brasil,,no,https://www.facebook.com/revistalofficielbrasil/,Magazine,4435,95331
476406569095128,Bazar POP Plus Size,,no,https://www.facebook.com/bazarpopplussize/,Retail and Consumer Merchandise,358,7504
1450654855212984,KaHoff,,yes,https://www.facebook.com/KaHoff-1450654855212984/,Shopping/Retail,8,8844
516577858360754,Laser Star São José dos Campos,,yes,https://www.facebook.com/laserstar.sjcampos/,Local Business,8,5712
214571331970912,Acqua Rosa Moda Praia,,yes,https://www.facebook.com/Acqua-Rosa-Moda-Praia-214571331970912/,Clothing,329,12210
246898832023858,Sophia Modas Plus Size,,no,https://www.facebook.com/Sophia-Modas-Plus-Size-246898832023858/,Clothing,99,6857
294067180641412,Bela Mulher GG,,yes,https://www.facebook.com/belamulhergg.com.br/,Clothing,11,2908
322338821148790,Vale Independente,,yes,https://www.facebook.com/ValeIndependente/,News/Media Website,15,5506
874167559263166,La Zayda Acessórios,,yes,https://www.facebook.com/lazaydaacessorios/,Jewelry/Watches,22,11267
603824212995453,LS Assessoria de Imprensa,,yes,https://www.facebook.com/lsassessoriadeimprensa/,Media/News/Publishing,2,737
86973707921,Refinery29,,yes,https://www.facebook.com/refinery29/,News/Media Website,203104,2995918
70070202017,Lane Bryant,,yes,https://www.facebook.com/LaneBryant/,Clothing,8129,1732169
