rt_id,who_was_rt,content_of_rt
1244613557980971008,BolsonaroSP,Dia triste para quem torce pelo vírus. A FDA (=ANVISA dos EUA) liberou o uso da cloroquina em pacientes com coronavírus. Certamente se fosse um familiar nosso autorizaríamos o seu uso.
1244692133417803780,jairbolsonaro,"Laboratório químicos das Forças Armadas ampliam produção de cloroquina: Laboratório Farmacêutico da @marmilbr, Laboratório Químico Farmacêutico do @exercitooficial e Laboratório Químico Farmacêutico da @fab_oficial, todos localizados no Rio de Janeiro (RJ)."
1244745584323559424,diegoescosteguy,"“H1N1 foi muito mais terrível do que é o coronavírus”, diz o presidente. A informação é falsa, aliás. “Ninguém falou nada.”"
1244613557980971008,BolsonaroSP,Dia triste para quem torce pelo vírus. A FDA (=ANVISA dos EUA) liberou o uso da cloroquina em pacientes com coronavírus. Certamente se fosse um familiar nosso autorizaríamos o seu uso.
1244692133417803780,jairbolsonaro,"Laboratório químicos das Forças Armadas ampliam produção de cloroquina: Laboratório Farmacêutico da @marmilbr, Laboratório Químico Farmacêutico do @exercitooficial e Laboratório Químico Farmacêutico da @fab_oficial, todos localizados no Rio de Janeiro (RJ)."
1244730154376736768,dardogasparre,"Me salvé, como es obvio. Pero nunca olvido que mi vida estuvo gratuitamente en juego por una decisión estúpida de un gobierno. A cuánta gente, sin amigos en Panagra, les pasó, les pasa y les pasará lo mismo. Viva la libertad."
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244729482889564166,LeilaneNeubarth,Delis Ortiz botando o dedo na ferida com a pergunta precisa na coletiva sobre coronavírus 👏🏼👏🏼👏🏼Parabéns !!!!!
1243960241311678465,CDCgov,NEW CDC Health Alert Network advisory: Severe Illness Associated with Using Non-Pharmaceutical Chloroquine Phosphate to Prevent and Treat #Coronavirus Disease 2019 (COVID-19). https://t.co/qFV5TyNifT https://t.co/NZhLu8jaO2
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244704998316965888,republica_ctba,Forças Armadas aceleram produção de cloroquina no Brasil https://t.co/Ik1dL7jJoN
1244692133417803780,jairbolsonaro,"Laboratório químicos das Forças Armadas ampliam produção de cloroquina: Laboratório Farmacêutico da @marmilbr, Laboratório Químico Farmacêutico do @exercitooficial e Laboratório Químico Farmacêutico da @fab_oficial, todos localizados no Rio de Janeiro (RJ)."
1242263727325483010,RossFairchild,"A NY Doctor shared with Hannity his Hydroxy Chloroquine/Azithromycin results.
200mg 2x daily Hydroxy Chloroquine 
500mg 1x daily Azithromycin 
220mg 1x daily Zinc sulfate

350 patients 
• Breathing restored 3-4 hours
• Zero deaths
• Zero hospitalizations 
• Zero intubations"
1244727557766987778,BolsonaroSP,"Interessante relato de médico que obteve sucesso no uso da hidroxicloroquina associado ao antibiótico azitromicina,que atua principalmente nos pulmões:

""No momento que vivemos, a medicina se sobrepõe à ciência, porque estamos em guerra"".

*Via @JornalBSM

https://t.co/9LmMUhwfZT"
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244642876753088514,NoticiasONU,"Respecto a la #cloroquina , la OMS aclara que no hay un tratamiento específico contra el #coronavirus, aunque algunas sustancias dan buenos resultados contra ciertos síntomas.
Hay que tener cuidado de que no se agoten porque son necesarias para otras enfermedades. 
@DrMikeRyan https://t.co/OnN3fhRYk6"
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244639185962766336,ArthurWeint,"Tv marinho: ""cloroquina é perigosa, e já matou gente que tomou"".

Tv marinho: ""cloroquina é essencial para quem tem lúpus e reumatismo"".

Pra um caso, pode matar. Para outros, é a salvação. Será que se o presidente fosse de esquerda, os marinho estariam louvando a cloroquina?"
1244692133417803780,jairbolsonaro,"Laboratório químicos das Forças Armadas ampliam produção de cloroquina: Laboratório Farmacêutico da @marmilbr, Laboratório Químico Farmacêutico do @exercitooficial e Laboratório Químico Farmacêutico da @fab_oficial, todos localizados no Rio de Janeiro (RJ)."
1244423295740641282,dacosss,@realDonaldTrump  hydroxychloroquine and chloroquine authorized by ANVISA (Brazilian FDA) with recommended amounts. https://t.co/giaxkestG0
1244705548458766342,MBelenMena,"Medicamentos esenciales en COVID 19  OPS Marzo 27/2020
Su acceso es elemento clave en el derecho a la salud. Poca plata, muchas necesidades: garantizar lo esencial!  https://t.co/7AqEJVwEA1 https://t.co/LHOjbnhiBr"
1244666477569101825,DZlia3,"O Samuel estava internado e receberá alta depois do tratamento com cloroquina.
Passem adiante. https://t.co/Hob4F5SZPt"
1244666791965712384,AAutoinmunes,"🔊🔊 Con motivo de la Nota Informativa en la que la Agencia Española del Medicamento @AEMPSGOB difundía contenido sobre la distribución controlada de #hidroxicloroquina #Cloroquina para garantizar que los pacientes con enfermedades crónicas, dispongan de su medicación.
 👇 #hilo https://t.co/lYdEI5HABb"
1244718833757302784,RobertW19699826,"Trussville | BREAKING: FDA issues emergency use authorization for chloroquine, hydroxychloroquine for COVID-19 patients https://t.co/sE8Afjur2m MAYBE A LAST RESORT AT THIS TIME."
1255642456567296007,kimpkat,"O apresentador sempre defendeu o presidente Jair Bolsonaro ao minimizar o impacto da pandemia no país. Desejo que melhore logo e possa voltar o mais rápido possível para a TV.

#BolsonaroÉCulpado #DireitaQuerImpeachment

https://t.co/tXrjYnUhWb"
1255438774684745731,jairbolsonaro,". Mais ações do @govbr entre 24/4 a 27/04/20:

1- Início das entregas de soluções NACIONAIS para respiradores;

2- R$ 163 milhões da saúde para habilitação de 1.134 leitos de UTI pelo Brasil;

3- Maior produção de etanol da história: 35,6 bilhões de litros na safra 2019/20;"
